Key,en,es,ar,fr
Languages,Languages,Lenguas,اللغات,Langues
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومة,Information
Language Information,Language Information,Información del idioma,معلومات اللغة,Informations linguistiques
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langue
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!,Langue créée avec succès!
Super Admin,Super Admin,Supermaladero,المشرف سوبر,Super administrateur
DEFAULT,Default,Por defecto,تقصير,Défaut
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة,Configuration de la monnaie
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم,Frais et frais
TRANSACTIONS & LOGS,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال,Ajouter des journaux d'argent
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux
Money Out Logs,Money Out Logs,Money Out Registros,سجلات الأموال,Journaux de l'argent
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة,Journaux en attente
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة,Journaux terminés
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة,Journaux annulés
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم,Soins des utilisateurs
Active Users,Active Users,Usuarios activos,المستخدمين النشطين,Utilisateurs actifs
All Users,All Users,Todos los usuarios,جميع المستخدمين,Tous les utilisateurs
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,E-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون,Utilisateurs interdits
Agent Care,Agent Care,Cuidado de agentes,رعاية الوكيل,Soins aux agents
Active Agents,Active Agents,Agentes activos,الوكلاء النشطين,Agents actifs
Email unverified,Email unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق,E-mail non vérifié
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق,KYC non vérifié
All Agents,All Agents,Todos los agentes,جميع الوكلاء,Tous les agents
Email To Agents,Email To Agents,Correo electrónico a los agentes,البريد الإلكتروني إلى الوكلاء,E-mail aux agents
Banned Agents,Banned Agents,Agentes prohibidos,وكلاء محظور,Agents interdits
